
Files already downloaded and verified
[32/50][0/79]	Loss_D: 1.1723	Loss_G: 1.0720	D(x): 0.6141	D(G(z)): 0.3780 / 0.3568
[32/50][50/79]	Loss_D: 0.9667	Loss_G: 1.4956	D(x): 0.6992	D(G(z)): 0.3286 / 0.2128
[33/50][0/79]	Loss_D: 1.2700	Loss_G: 2.1757	D(x): 0.8805	D(G(z)): 0.5802 / 0.1044
[33/50][50/79]	Loss_D: 0.9166	Loss_G: 1.3945	D(x): 0.7067	D(G(z)): 0.2955 / 0.2343
[34/50][0/79]	Loss_D: 1.1061	Loss_G: 1.8925	D(x): 0.8546	D(G(z)): 0.4983 / 0.1415
[34/50][50/79]	Loss_D: 0.8632	Loss_G: 1.5329	D(x): 0.7735	D(G(z)): 0.3021 / 0.2028
[35/50][0/79]	Loss_D: 1.0820	Loss_G: 2.2019	D(x): 0.7970	D(G(z)): 0.4647 / 0.1009
[35/50][50/79]	Loss_D: 0.9734	Loss_G: 1.5275	D(x): 0.7331	D(G(z)): 0.3705 / 0.2038
[36/50][0/79]	Loss_D: 0.9309	Loss_G: 1.4322	D(x): 0.7049	D(G(z)): 0.3080 / 0.2261
[36/50][50/79]	Loss_D: 0.9810	Loss_G: 1.6405	D(x): 0.7196	D(G(z)): 0.3561 / 0.1826
[37/50][0/79]	Loss_D: 0.9673	Loss_G: 1.7181	D(x): 0.7732	D(G(z)): 0.3863 / 0.1666
[37/50][50/79]	Loss_D: 0.9946	Loss_G: 1.2028	D(x): 0.6413	D(G(z)): 0.2928 / 0.2912
[38/50][0/79]	Loss_D: 0.9312	Loss_G: 1.2723	D(x): 0.6444	D(G(z)): 0.2034 / 0.2804
[38/50][50/79]	Loss_D: 0.9090	Loss_G: 1.4052	D(x): 0.6942	D(G(z)): 0.2793 / 0.2332
[39/50][0/79]	Loss_D: 1.0419	Loss_G: 0.5594	D(x): 0.5467	D(G(z)): 0.1671 / 0.6327
[39/50][50/79]	Loss_D: 0.9722	Loss_G: 1.2130	D(x): 0.6387	D(G(z)): 0.2708 / 0.2921
[40/50][0/79]	Loss_D: 0.9325	Loss_G: 2.0695	D(x): 0.8028	D(G(z)): 0.3756 / 0.1185
[40/50][50/79]	Loss_D: 0.8942	Loss_G: 1.9041	D(x): 0.8146	D(G(z)): 0.3505 / 0.1376
[41/50][0/79]	Loss_D: 1.0640	Loss_G: 2.5145	D(x): 0.8284	D(G(z)): 0.4815 / 0.0745
[41/50][50/79]	Loss_D: 0.9343	Loss_G: 1.6064	D(x): 0.7616	D(G(z)): 0.3535 / 0.1881
