
Files already downloaded and verified
[11/30][200/391]	Loss_D: 1.1857	Loss_G: 1.4472	D(x): 0.5878	D(G(z)): 0.4049 / 0.2236
[11/30][250/391]	Loss_D: 0.9655	Loss_G: 1.5449	D(x): 0.7446	D(G(z)): 0.3783 / 0.1984
[11/30][300/391]	Loss_D: 0.9517	Loss_G: 1.4719	D(x): 0.6859	D(G(z)): 0.3176 / 0.2160
[11/30][350/391]	Loss_D: 0.9288	Loss_G: 1.3558	D(x): 0.6247	D(G(z)): 0.2121 / 0.2454
[12/30][0/391]	Loss_D: 1.5086	Loss_G: 1.2315	D(x): 0.7242	D(G(z)): 0.6483 / 0.2885
[12/30][50/391]	Loss_D: 1.0536	Loss_G: 1.2256	D(x): 0.6351	D(G(z)): 0.3560 / 0.2826
[12/30][100/391]	Loss_D: 0.9016	Loss_G: 1.2773	D(x): 0.6721	D(G(z)): 0.2420 / 0.2701
[12/30][150/391]	Loss_D: 0.9190	Loss_G: 1.4089	D(x): 0.7285	D(G(z)): 0.3258 / 0.2283
[12/30][200/391]	Loss_D: 1.0625	Loss_G: 1.5215	D(x): 0.6094	D(G(z)): 0.3287 / 0.2073
[12/30][250/391]	Loss_D: 1.0613	Loss_G: 1.3726	D(x): 0.6546	D(G(z)): 0.3644 / 0.2469
[12/30][300/391]	Loss_D: 1.0101	Loss_G: 1.4973	D(x): 0.6256	D(G(z)): 0.2986 / 0.2162
[12/30][350/391]	Loss_D: 1.3931	Loss_G: 2.1577	D(x): 0.8126	D(G(z)): 0.6310 / 0.1111
[13/30][0/391]	Loss_D: 1.0064	Loss_G: 1.3677	D(x): 0.6357	D(G(z)): 0.3049 / 0.2452
[13/30][50/391]	Loss_D: 1.0836	Loss_G: 0.9940	D(x): 0.5375	D(G(z)): 0.2273 / 0.3660
[13/30][100/391]	Loss_D: 1.1142	Loss_G: 1.0038	D(x): 0.5583	D(G(z)): 0.2951 / 0.3757
[13/30][150/391]	Loss_D: 0.9637	Loss_G: 1.3463	D(x): 0.6082	D(G(z)): 0.2315 / 0.2468
[13/30][200/391]	Loss_D: 1.1135	Loss_G: 2.0865	D(x): 0.8106	D(G(z)): 0.5023 / 0.1150
[13/30][250/391]	Loss_D: 1.1401	Loss_G: 0.9098	D(x): 0.4808	D(G(z)): 0.1834 / 0.4057
[13/30][300/391]	Loss_D: 1.0616	Loss_G: 1.1677	D(x): 0.5452	D(G(z)): 0.2343 / 0.3048
[13/30][350/391]	Loss_D: 1.1280	Loss_G: 1.0839	D(x): 0.4971	D(G(z)): 0.2070 / 0.3383
[14/30][0/391]	Loss_D: 0.9652	Loss_G: 1.1984	D(x): 0.6479	D(G(z)): 0.2790 / 0.2965
[14/30][50/391]	Loss_D: 1.0076	Loss_G: 1.0323	D(x): 0.5749	D(G(z)): 0.2135 / 0.3508
[14/30][100/391]	Loss_D: 1.0708	Loss_G: 1.6875	D(x): 0.7101	D(G(z)): 0.4318 / 0.1699
[14/30][150/391]	Loss_D: 1.1394	Loss_G: 0.8692	D(x): 0.5037	D(G(z)): 0.2371 / 0.4290
[14/30][200/391]	Loss_D: 0.9235	Loss_G: 1.5973	D(x): 0.7534	D(G(z)): 0.3440 / 0.1900
[14/30][250/391]	Loss_D: 1.0946	Loss_G: 1.0556	D(x): 0.5925	D(G(z)): 0.3405 / 0.3422
[14/30][300/391]	Loss_D: 1.5993	Loss_G: 2.2923	D(x): 0.8773	D(G(z)): 0.7195 / 0.0923
[14/30][350/391]	Loss_D: 0.9924	Loss_G: 1.2883	D(x): 0.6694	D(G(z)): 0.3284 / 0.2660
[15/30][0/391]	Loss_D: 1.0366	Loss_G: 1.6811	D(x): 0.7533	D(G(z)): 0.4378 / 0.1699
[15/30][50/391]	Loss_D: 1.1489	Loss_G: 1.7536	D(x): 0.7805	D(G(z)): 0.5080 / 0.1587
[15/30][100/391]	Loss_D: 1.0719	Loss_G: 1.4012	D(x): 0.6850	D(G(z)): 0.4103 / 0.2341
[15/30][150/391]	Loss_D: 1.0526	Loss_G: 1.5948	D(x): 0.7819	D(G(z)): 0.4466 / 0.1924
[15/30][200/391]	Loss_D: 1.1241	Loss_G: 1.1442	D(x): 0.5660	D(G(z)): 0.3338 / 0.3119
[15/30][250/391]	Loss_D: 1.0120	Loss_G: 1.1642	D(x): 0.6318	D(G(z)): 0.3050 / 0.3077
[15/30][300/391]	Loss_D: 0.9851	Loss_G: 1.2605	D(x): 0.6272	D(G(z)): 0.2867 / 0.2693
[15/30][350/391]	Loss_D: 1.0999	Loss_G: 0.8088	D(x): 0.5064	D(G(z)): 0.1937 / 0.4534
[16/30][0/391]	Loss_D: 1.1370	Loss_G: 1.8195	D(x): 0.7582	D(G(z)): 0.5029 / 0.1450
[16/30][50/391]	Loss_D: 1.0227	Loss_G: 1.1519	D(x): 0.6176	D(G(z)): 0.3173 / 0.3031
[16/30][100/391]	Loss_D: 1.0967	Loss_G: 0.9553	D(x): 0.5111	D(G(z)): 0.1972 / 0.3860
[16/30][150/391]	Loss_D: 0.9950	Loss_G: 1.6639	D(x): 0.7058	D(G(z)): 0.3722 / 0.1749
[16/30][200/391]	Loss_D: 1.5941	Loss_G: 0.9403	D(x): 0.3989	D(G(z)): 0.3376 / 0.3922
[16/30][250/391]	Loss_D: 1.0403	Loss_G: 1.3759	D(x): 0.6397	D(G(z)): 0.3503 / 0.2391
[16/30][300/391]	Loss_D: 1.3792	Loss_G: 2.1608	D(x): 0.7576	D(G(z)): 0.6205 / 0.1093
[16/30][350/391]	Loss_D: 1.0834	Loss_G: 1.1846	D(x): 0.5813	D(G(z)): 0.3106 / 0.2956
[17/30][0/391]	Loss_D: 0.9467	Loss_G: 1.1948	D(x): 0.6344	D(G(z)): 0.2427 / 0.2945
[17/30][50/391]	Loss_D: 1.0070	Loss_G: 1.4789	D(x): 0.7037	D(G(z)): 0.3751 / 0.2178
