
Files already downloaded and verified
[43/50][50/79]	Loss_D: 1.1633	Loss_G: 0.9967	D(x): 0.5297	D(G(z)): 0.3321 / 0.3606
[44/50][0/79]	Loss_D: 1.2237	Loss_G: 0.6066	D(x): 0.4315	D(G(z)): 0.2024 / 0.5876
[44/50][50/79]	Loss_D: 1.0393	Loss_G: 1.0865	D(x): 0.6079	D(G(z)): 0.3198 / 0.3271
[45/50][0/79]	Loss_D: 1.2195	Loss_G: 1.6105	D(x): 0.7875	D(G(z)): 0.5544 / 0.1911
[45/50][50/79]	Loss_D: 0.9924	Loss_G: 1.6338	D(x): 0.7268	D(G(z)): 0.3876 / 0.1801
[46/50][0/79]	Loss_D: 1.3864	Loss_G: 2.2154	D(x): 0.8667	D(G(z)): 0.6426 / 0.0993
[46/50][50/79]	Loss_D: 1.0520	Loss_G: 0.9246	D(x): 0.5639	D(G(z)): 0.2635 / 0.3968
[47/50][0/79]	Loss_D: 1.2549	Loss_G: 0.8006	D(x): 0.4220	D(G(z)): 0.1999 / 0.4600
[47/50][50/79]	Loss_D: 1.0372	Loss_G: 1.0721	D(x): 0.5679	D(G(z)): 0.2641 / 0.3321
[48/50][0/79]	Loss_D: 1.5417	Loss_G: 2.2540	D(x): 0.9013	D(G(z)): 0.7020 / 0.0991
[48/50][50/79]	Loss_D: 0.9845	Loss_G: 1.2502	D(x): 0.5934	D(G(z)): 0.2323 / 0.2748
[49/50][0/79]	Loss_D: 1.2031	Loss_G: 1.4228	D(x): 0.7736	D(G(z)): 0.5409 / 0.2344
[49/50][50/79]	Loss_D: 1.0887	Loss_G: 0.9948	D(x): 0.6417	D(G(z)): 0.3913 / 0.3642
[50/50][0/79]	Loss_D: 1.4495	Loss_G: 2.7194	D(x): 0.8588	D(G(z)): 0.6606 / 0.0581
[50/50][50/79]	Loss_D: 1.0498	Loss_G: 1.1247	D(x): 0.5844	D(G(z)): 0.2930 / 0.3158
